date,symbol,action,shares,price,cost,reason,technical_reason,cash_after,total_position,avg_price
2024-01-02 00:00:00-05:00,AAPL,BUY,13,184.0814971923828,2395.4525229644773,Strong upward momentum detected. Algorithm confidence: 44%. Good entry point for potential gains.,BUY: Momentum entry Q=0.440 >= 0.3,7604.547477035523,13,184.0814971923828
2024-01-02 00:00:00-05:00,MSFT,BUY,5,366.1055603027344,1832.3583293151853,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.403 >= 0.3,5772.189147720338,5,366.1055603027344
2024-01-03 00:00:00-05:00,AAPL,BUY,7,182.70315551757812,1280.2010107116698,Strong upward momentum detected. Algorithm confidence: 31%. Good entry point for potential gains.,BUY: Momentum entry Q=0.314 >= 0.3,4491.988137008668,20,183.59907760620118
2024-01-04 00:00:00-05:00,AAPL,BUY,6,180.38282775878906,1083.379263519287,Strong upward momentum detected. Algorithm confidence: 33%. Good entry point for potential gains.,BUY: Momentum entry Q=0.333 >= 0.3,3408.608873489381,26,182.8568661029522
2024-01-09 00:00:00-05:00,AAPL,BUY,4,183.58570861816406,735.0771773071289,Strong upward momentum detected. Algorithm confidence: 32%. Good entry point for potential gains.,BUY: Momentum entry Q=0.315 >= 0.3,2673.5316961822523,30,182.95404510498048
2024-01-09 00:00:00-05:00,MSFT,BUY,1,370.9623107910156,371.3332731018066,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.403 >= 0.3,2302.1984230804455,6,366.91501871744794
2024-01-10 00:00:00-05:00,MSFT,BUY,1,377.8526611328125,378.23051379394525,Strong upward momentum detected. Algorithm confidence: 51%. Good entry point for potential gains.,BUY: Momentum entry Q=0.509 >= 0.3,1923.9679092865003,7,368.4775390625
2024-01-11 00:00:00-05:00,MSFT,BUY,1,379.68878173828125,380.0684705200195,Strong upward momentum detected. Algorithm confidence: 47%. Good entry point for potential gains.,BUY: Momentum entry Q=0.468 >= 0.3,1543.899438766481,8,369.87894439697266
2024-01-12 00:00:00-05:00,MSFT,BUY,1,383.4794921875,383.86297167968746,Strong upward momentum detected. Algorithm confidence: 46%. Good entry point for potential gains.,BUY: Momentum entry Q=0.460 >= 0.3,1160.0364670867934,9,371.39011637369794
2024-01-19 00:00:00-05:00,AAPL,BUY,1,189.95179748535156,190.14174928283688,Strong upward momentum detected. Algorithm confidence: 50%. Good entry point for potential gains.,BUY: Momentum entry Q=0.498 >= 0.3,969.8947178039566,31,183.17977905273438
2024-01-22 00:00:00-05:00,AAPL,BUY,1,192.26222229003906,192.4544845123291,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.406 >= 0.3,777.4402332916275,32,183.46360540390015
2024-01-23 00:00:00-05:00,AAPL,BUY,1,193.54141235351562,193.7349537658691,Strong upward momentum detected. Algorithm confidence: 44%. Good entry point for potential gains.,BUY: Momentum entry Q=0.436 >= 0.3,583.7052795257583,33,183.76899349328244
