date,symbol,action,shares,price,cost,reason,technical_reason,cash_after,total_position,avg_price,buy_price,sell_price,cost_basis,proceeds,pnl,pnl_pct,cumulative_pnl,running_total_pnl
2024-10-01 00:00:00-04:00,AAPL,BUY,22,225.16209411621094,4958.519636627197,Strong upward momentum detected. Algorithm confidence: 43%. Good entry point for potential gains.,BUY: Momentum entry Q=0.429 >= 0.35,45041.4803633728,22.0,225.16209411621094,,,,,,,,0.0
2024-10-01 00:00:00-04:00,MSFT,BUY,11,417.5552062988281,4597.700376556396,Strong upward momentum detected. Algorithm confidence: 46%. Good entry point for potential gains.,BUY: Momentum entry Q=0.460 >= 0.35,40443.77998681641,11.0,417.5552062988281,,,,,,,,0.0
2024-10-01 00:00:00-04:00,GOOGL,BUY,30,166.25682067871094,4992.692324981689,Strong upward momentum detected. Algorithm confidence: 39%. Good entry point for potential gains.,BUY: Momentum entry Q=0.388 >= 0.35,35451.08766183472,30.0,166.25682067871094,,,,,,,,0.0
2024-10-01 00:00:00-04:00,NVDA,BUY,42,116.97306060791016,4917.781414077758,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.403 >= 0.35,30533.30624775696,42.0,116.97306060791016,,,,,,,,0.0
2024-10-01 00:00:00-04:00,TSLA,BUY,19,258.0199890136719,4907.282171051025,Strong upward momentum detected. Algorithm confidence: 43%. Good entry point for potential gains.,BUY: Momentum entry Q=0.429 >= 0.35,25626.024076705933,19.0,258.0199890136719,,,,,,,,0.0
2024-10-02 00:00:00-04:00,AAPL,SELL,22,,,"AI model detects potential price peak. Taking profits ($7.52, 0.2%).","SELL: ML profit peak ML=0.435, P&L=$12.48",30587.10584992981,,,225.16209411621094,225.7294464111328,4953.566070556641,4961.081773223877,7.515702667235928,0.15172307303839747,7.515702667235928,7.515702667235928
2024-10-02 00:00:00-04:00,GOOGL,SELL,30,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-38.71, -0.8%).",SELL: Conviction lost Q=0.233 <= 0.3,35536.105143753055,,,166.25682067871094,165.13177490234375,4987.704620361328,4948.999293823243,-38.7053265380855,-0.7760148101007942,-38.7053265380855,-31.189623870849573
2024-10-02 00:00:00-04:00,NVDA,SELL,42,,,"AI model detects potential price peak. Taking profits ($72.69, 1.5%).","SELL: ML profit peak ML=0.487, P&L=$77.68",40521.66481021119,,,116.97306060791016,118.82262420654297,4912.868545532227,4985.55966645813,72.6911209259033,1.479606471294836,72.6911209259033,41.50149705505373
2024-10-02 00:00:00-04:00,TSLA,SELL,19,,,"Stop loss triggered to limit losses. Protecting capital ($-175.73, -3.6%).",SELL: Stop loss 3.5% >= 2.0%,45248.31351130677,,,258.0199890136719,249.02000427246094,4902.379791259766,4726.648701095581,-175.73109016418493,-3.584607836330593,-175.73109016418493,-134.2295931091312
2024-10-03 00:00:00-04:00,AAPL,BUY,22,224.6245880126953,4946.6826772155755,Strong upward momentum detected. Algorithm confidence: 38%. Good entry point for potential gains.,BUY: Momentum entry Q=0.383 >= 0.35,40301.63083409119,22.0,224.6245880126953,,,,,,,,-134.2295931091312
2024-10-03 00:00:00-04:00,MSFT,SELL,11,,,"End of trading session - closing all positions ($-49.86, -1.1%).",FORCED EXIT: Held for 48.0 hours (max: 48),44844.880765853886,,,417.5552062988281,413.4361572265625,4593.107269287109,4543.249931762695,-49.857337524414106,-1.0854816707155286,-49.857337524414106,-184.0869306335453
2024-10-03 00:00:00-04:00,NVDA,BUY,40,122.82170867919922,4917.781215515136,Strong upward momentum detected. Algorithm confidence: 64%. Good entry point for potential gains.,BUY: Momentum entry Q=0.635 >= 0.35,39927.09955033875,40.0,122.82170867919922,,,,,,,,-184.0869306335453
2024-10-03 00:00:00-04:00,TSLA,BUY,20,240.66000366210938,4818.013273315429,Strong upward momentum detected. Algorithm confidence: 47%. Good entry point for potential gains.,BUY: Momentum entry Q=0.471 >= 0.35,35109.08627702332,20.0,240.66000366210938,,,,,,,,-184.0869306335453
2024-10-04 00:00:00-04:00,AAPL,SELL,22,,,"AI model detects potential price peak. Taking profits ($19.78, 0.4%).","SELL: ML profit peak ML=0.668, P&L=$24.74",40070.60535664368,,,224.6245880126953,225.7493438720703,4941.740936279297,4961.5190796203615,19.778143341064606,0.400226227883889,27.293846008300534,-164.3087872924807
2024-10-04 00:00:00-04:00,MSFT,BUY,12,412.9596862792969,4960.471751586913,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.413 >= 0.35,35110.13360505677,12.0,412.9596862792969,,,,,,,,-164.3087872924807
2024-10-04 00:00:00-04:00,GOOGL,BUY,30,166.32650756835938,4994.785022277832,Strong upward momentum detected. Algorithm confidence: 44%. Good entry point for potential gains.,BUY: Momentum entry Q=0.435 >= 0.35,30115.348582778937,30.0,166.32650756835938,,,,,,,,-164.3087872924807
2024-10-04 00:00:00-04:00,NVDA,SELL,40,,,"AI model detects potential price peak. Taking profits ($77.79, 1.6%).","SELL: ML profit peak ML=0.399, P&L=$82.78",35106.00204255677,,,122.82170867919922,124.89122772216797,4912.868347167969,4990.653459777832,77.78511260986306,1.583293243644569,150.47623353576637,-86.52367468261764
2024-10-04 00:00:00-04:00,TSLA,SELL,20,,,"Exit signal triggered. Closing position with profit ($183.40, 3.8%).",SELL: Swing trade profit 3.9% >= 2.0% (24.0h),40102.60047914124,,,240.66000366210938,250.0800018310547,4813.2000732421875,4996.598436584472,183.39836334228494,3.8103207959678103,7.667273178100004,96.8746886596673
2024-10-07 00:00:00-04:00,AAPL,BUY,22,220.6630401611328,4859.441470428466,Strong upward momentum detected. Algorithm confidence: 45%. Good entry point for potential gains.,BUY: Momentum entry Q=0.451 >= 0.35,35243.15900871278,22.0,220.6630401611328,,,,,,,,96.8746886596673
2024-10-07 00:00:00-04:00,MSFT,SELL,12,,,"End of trading session - closing all positions ($-82.53, -1.7%).",FORCED EXIT: Held for 72.0 hours (max: 48),40116.140524337774,,,412.9596862792969,406.48828125,4955.5162353515625,4872.981515625,-82.5347197265628,-1.6655120436853434,-132.3920572509769,14.339968933104501
2024-10-07 00:00:00-04:00,GOOGL,SELL,30,,,"End of trading session - closing all positions ($-126.73, -2.5%).",FORCED EXIT: Held for 72.0 hours (max: 48),44979.204721115115,,,166.32650756835938,162.264404296875,4989.795227050781,4863.064196777344,-126.73103027343768,-2.5398042305704407,-165.43635681152318,-112.39106134033318
2024-10-07 00:00:00-04:00,NVDA,BUY,39,127.69058990478516,4984.912939292907,Strong upward momentum detected. Algorithm confidence: 61%. Good entry point for potential gains.,BUY: Momentum entry Q=0.611 >= 0.35,39994.291781822205,39.0,127.69058990478516,,,,,,,,-112.39106134033318
2024-10-07 00:00:00-04:00,TSLA,BUY,20,240.8300018310547,4821.416636657715,Strong upward momentum detected. Algorithm confidence: 42%. Good entry point for potential gains.,BUY: Momentum entry Q=0.423 >= 0.35,35172.87514516449,20.0,240.8300018310547,,,,,,,,-112.39106134033318
