date,symbol,price,decision,confidence,reason,q_value,ml_confidence,rsi,macd
2025-05-28 00:00:00-04:00,AAPL,200.1927947998047,hold,0.2085777681212281,"HOLD: No entry signal (Q=0.417, RSI=50.0, ML=0.578)",0.4171555362424562,0.5782178532834295,50.0,0.0
2025-05-28 00:00:00-04:00,MSFT,456.609375,hold,0.23203997584789463,"HOLD: No entry signal (Q=0.464, RSI=50.0, ML=0.537)",0.46407995169578925,0.5374513411707675,50.0,0.0
2025-05-28 00:00:00-04:00,GOOGL,172.15159606933594,hold,0.19350869350569402,"HOLD: No entry signal (Q=0.387, RSI=50.0, ML=0.471)",0.38701738701138805,0.4708951088410671,50.0,0.0
2025-05-28 00:00:00-04:00,TSLA,356.8999938964844,hold,0.2029686224961811,"HOLD: No entry signal (Q=0.406, RSI=50.0, ML=0.603)",0.4059372449923622,0.6027056532231863,50.0,0.0
2025-05-28 00:00:00-04:00,NVDA,134.80064392089844,buy,0.85,"BUY: Strong ML signal ML=0.707, Q=0.372",0.37158963981217963,0.7069899984302033,50.0,0.0
2025-05-29 00:00:00-04:00,AAPL,199.72332763671875,hold,0.19301114356726357,"HOLD: No entry signal (Q=0.386, RSI=50.0, ML=0.477)",0.38602228713452713,0.4766457329603455,50.0,-0.037450371984078856
2025-05-29 00:00:00-04:00,MSFT,457.9272155761719,buy,0.640776217086977,BUY: Momentum entry Q=0.683 >= 0.65,0.6827326912181798,0.5428777774475039,50.0,0.10512688356931221
2025-05-29 00:00:00-04:00,GOOGL,171.65219116210938,hold,0.20201487794567008,"HOLD: No entry signal (Q=0.404, RSI=50.0, ML=0.599)",0.40402975589134016,0.5992870179711358,50.0,-0.039838568097820826
2025-05-29 00:00:00-04:00,TSLA,358.42999267578125,buy,0.6316668039305786,BUY: Momentum entry Q=0.653 >= 0.65,0.6530912950014244,0.5816763247652719,50.0,0.12205118467329612
2025-05-29 00:00:00-04:00,NVDA,139.1803436279297,buy,0.75,"BUY: MACD momentum MACD=0.349, Q=0.458",0.45759116128524885,0.6357373421186445,50.0,0.349377754407044
2025-05-30 00:00:00-04:00,AAPL,200.622314453125,hold,0.25804545012506086,"HOLD: No entry signal (Q=0.516, RSI=50.0, ML=0.514)",0.5160909002501217,0.513636347093327,50.0,0.0053490013825694405
2025-05-30 00:00:00-04:00,MSFT,459.60443115234375,buy,0.75,"BUY: MACD momentum MACD=0.320, Q=0.371",0.3708541081281468,0.5478979831335151,50.0,0.3200881986122681
