date,symbol,price,decision,confidence,reason,technical_reason,q_value,ml_confidence,rsi,macd
2025-06-02 00:00:00-04:00,AAPL,201.47134399414062,buy,0.526790035948896,Strong upward momentum detected. Algorithm confidence: 51%. Good entry point for potential gains.,BUY: Momentum entry Q=0.506 >= 0.4,0.5056352902546772,0.5761511092354066,50.0,0.0
2025-06-02 00:00:00-04:00,MSFT,461.2118225097656,buy,0.85,AI model predicts price increase based on market patterns. High probability setup.,"BUY: Strong ML signal ML=0.706, Q=0.350",0.35031142783961916,0.7059451823065508,50.0,0.0
2025-06-02 00:00:00-04:00,GOOGL,168.82562255859375,hold,0.16859601018025783,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.337, RSI=50.0, ML=0.637)",0.33719202036051565,0.6370803104698872,50.0,0.0
2025-06-02 00:00:00-04:00,TSLA,342.69000244140625,hold,0.16800613320409463,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.336, RSI=50.0, ML=0.522)",0.33601226640818926,0.5220710406392646,50.0,0.0
2025-06-02 00:00:00-04:00,NVDA,137.37046813964844,hold,0.1704324149676629,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.341, RSI=50.0, ML=0.541)",0.3408648299353258,0.5407489813052337,50.0,0.0
2025-06-03 00:00:00-04:00,AAPL,203.03956604003906,hold,0.16653619999341454,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.333, RSI=50.0, ML=0.515)",0.3330723999868291,0.5148854262599333,50.0,0.12510033414571353
2025-06-03 00:00:00-04:00,MSFT,462.2101745605469,hold,0.18606047487960092,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.372, RSI=50.0, ML=0.548)",0.37212094975920185,0.5483729070937294,50.0,0.07964061943556544
2025-06-03 00:00:00-04:00,GOOGL,165.97906494140625,hold,0.1940361847114508,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.388, RSI=50.0, ML=0.396)",0.3880723694229016,0.39640783221762643,50.0,-0.227075821314088
2025-06-03 00:00:00-04:00,TSLA,344.2699890136719,buy,0.5644325999248473,Strong upward momentum detected. Algorithm confidence: 57%. Good entry point for potential gains.,BUY: Momentum entry Q=0.570 >= 0.4,0.5703063360458223,0.5507272156425723,50.0,0.1260388148816105
2025-06-03 00:00:00-04:00,NVDA,141.21018981933594,buy,0.5404748347158328,Strong upward momentum detected. Algorithm confidence: 54%. Good entry point for potential gains.,BUY: Momentum entry Q=0.538 >= 0.4,0.5381626201777342,0.5458700019713963,50.0,0.3063025841346132
2025-06-04 00:00:00-04:00,AAPL,202.590087890625,buy,0.5007701534805058,Strong upward momentum detected. Algorithm confidence: 43%. Good entry point for potential gains.,BUY: Momentum entry Q=0.433 >= 0.4,0.4328919337317952,0.6591526662274975,50.0,0.18583196482919107
2025-06-04 00:00:00-04:00,MSFT,463.1086730957031,buy,0.40457101890242564,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.414 >= 0.4,0.4137176299498878,0.3832289264583474,50.0,0.212804627559251
