date,symbol,price,decision,confidence,reason,technical_reason,q_value,ml_confidence,rsi,macd
2024-10-01 00:00:00-04:00,AAPL,225.16209411621094,buy,0.5320662114561452,Strong upward momentum detected. Algorithm confidence: 43%. Good entry point for potential gains.,BUY: Momentum entry Q=0.429 >= 0.35,0.4293407479123892,0.7717589597249092,50.0,0.0
2024-10-01 00:00:00-04:00,MSFT,417.5552062988281,buy,0.4643517219147068,Strong upward momentum detected. Algorithm confidence: 46%. Good entry point for potential gains.,BUY: Momentum entry Q=0.460 >= 0.35,0.46022290009171024,0.4739856395016989,50.0,0.0
2024-10-01 00:00:00-04:00,GOOGL,166.25682067871094,buy,0.4269900776465265,Strong upward momentum detected. Algorithm confidence: 39%. Good entry point for potential gains.,BUY: Momentum entry Q=0.388 >= 0.35,0.38848688025301986,0.5168308715647087,50.0,0.0
2024-10-01 00:00:00-04:00,NVDA,116.97306060791016,buy,0.4393553191271384,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.403 >= 0.35,0.4027607602210044,0.5247426232414512,50.0,0.0
2024-10-01 00:00:00-04:00,TSLA,258.0199890136719,buy,0.4642663386041293,Strong upward momentum detected. Algorithm confidence: 43%. Good entry point for potential gains.,BUY: Momentum entry Q=0.429 >= 0.35,0.4290837562216754,0.5463590308298552,50.0,0.0
2024-10-02 00:00:00-04:00,AAPL,225.7294464111328,sell,0.85,AI model detects potential price peak. Taking profits.,"SELL: ML profit peak ML=0.435, P&L=$12.48",0.4985359718344139,0.434812834275516,50.0,0.04525887252938787
2024-10-02 00:00:00-04:00,MSFT,414.021728515625,hold,0.4627832576213263,Holding position - indicators suggest more upside potential.,"HOLD: swing trade, Q=0.323, P&L=$-38.87 (-0.8%), 24.0h",0.32251945856055997,0.6030470566820927,50.0,-0.281872871594544
2024-10-02 00:00:00-04:00,GOOGL,165.13177490234375,sell,0.8,Algorithm confidence dropped. Exiting position to preserve capital.,SELL: Conviction lost Q=0.233 <= 0.3,0.23349517984051602,0.6490919805055249,50.0,-0.08974724141958745
2024-10-02 00:00:00-04:00,NVDA,118.82262420654297,sell,0.85,AI model detects potential price peak. Taking profits.,"SELL: ML profit peak ML=0.487, P&L=$77.68",0.4533717276749979,0.48708001714917615,50.0,0.1475435349336749
2024-10-02 00:00:00-04:00,TSLA,249.02000427246094,sell,0.95,Stop loss triggered to limit losses. Protecting capital.,SELL: Stop loss 3.5% >= 2.0%,0.22417694748909317,0.5345742845419832,50.0,-0.7179475007233691
2024-10-03 00:00:00-04:00,AAPL,224.6245880126953,buy,0.4137460549793355,Strong upward momentum detected. Algorithm confidence: 38%. Good entry point for potential gains.,BUY: Momentum entry Q=0.383 >= 0.35,0.38288446110404045,0.4857564406883574,50.0,-0.007934519780548044
2024-10-03 00:00:00-04:00,MSFT,413.4361572265625,sell,1.0,End of trading session - closing all positions.,FORCED EXIT: Held for 48.0 hours (max: 48),0.25247683072651955,0.5539443547877638,50.0,-0.5462134536340955
2024-10-03 00:00:00-04:00,GOOGL,165.13177490234375,hold,0.16592681345114413,Waiting for better opportunity. No clear buy signal yet.,"HOLD: No entry signal (Q=0.332, RSI=50.0, ML=0.573)",0.33185362690228826,0.5734713180808877,50.0,-0.15903927111961025
2024-10-03 00:00:00-04:00,NVDA,122.82170867919922,buy,0.6304669426508775,Strong upward momentum detected. Algorithm confidence: 64%. Good entry point for potential gains.,BUY: Momentum entry Q=0.635 >= 0.35,0.6348102390061445,0.6203325844885881,50.0,0.5804741993251383
2024-10-03 00:00:00-04:00,TSLA,240.66000366210938,buy,0.5218445899495434,Strong upward momentum detected. Algorithm confidence: 47%. Good entry point for potential gains.,BUY: Momentum entry Q=0.471 >= 0.35,0.4711530781129136,0.6401247842350128,50.0,-1.9391548790306956
